id,movement time
4.95419631,1.32811594
4.95419631,1.163788795
4.95419631,1.183628082
4.95419631,1.461636782
4.95419631,1.303476095
4.95419631,1.308992863
4.95419631,1.140883923
4.95419631,1.42349124
3.584962501,0.886292934
3.584962501,0.971585989
3.584962501,1.47414875
3.584962501,0.938588858
3.584962501,1.188055754
3.584962501,0.971730947
3.584962501,1.05922389
3.584962501,1.011737108
4.392317423,1.090512991
4.392317423,0.973611593
4.392317423,1.068636179
4.392317423,1.131783962
4.392317423,1.116026878
4.392317423,1.097517967
4.392317423,1.173931837
4.392317423,1.203676939
2.700439718,0.807212114
2.700439718,0.890694857
2.700439718,0.811934948
2.700439718,0.97995019
2.700439718,0.804665089
2.700439718,0.924127102
2.700439718,0.806210041
2.700439718,0.972080231
4,1.196114063
4,1.029921055
4,1.088382006
4,1.083880901
4,1.075827837
4,1.274236202
4,1.057691813
4,1.021423101
3.459431619,1.118579149
3.459431619,0.910902739
3.459431619,1.052360058
3.459431619,0.908046007
3.459431619,1.084948301
3.459431619,0.853615046
3.459431619,0.933867931
3.459431619,0.966722012
3.584962501,0.711399078
3.584962501,0.648121119
3.584962501,0.79964304
3.584962501,0.672200203
3.584962501,0.559649229
3.584962501,0.672645092
3.584962501,0.760187149
3.584962501,0.775846958
3.459431619,0.863462925
3.459431619,0.87941885
3.459431619,0.919305325
3.459431619,0.808096886
3.459431619,0.672056913
3.459431619,0.560014009
3.459431619,0.83972311
3.459431619,0.607971191
4,0.976539135
4,0.880946159
4,0.816641092
4,0.656110764
4,0.784370899
4,0.822947741
4,0.712410927
4,0.824143171
4.95419631,1.255881071
4.95419631,0.911805153
4.95419631,0.89693284
4.95419631,0.824119091
4.95419631,0.951939106
4.95419631,0.824737072
4.95419631,1.032077074
4.95419631,1.040366888
2.700439718,0.64754796
2.700439718,0.688196182
2.700439718,0.504480124
2.700439718,0.575959921
2.700439718,0.519625902
2.700439718,0.49530673
2.700439718,0.567897081
2.700439718,0.552114964
4.392317423,0.912170172
4.392317423,0.751900911
4.392317423,0.864737988
4.392317423,0.728387117
4.392317423,0.927299023
4.392317423,0.879991055
4.392317423,1.104799032
4.392317423,1.559321165
